timesteps,mean_reward,best_reward
61000,-151.75592324,-151.75592324
62000,-153.56564693,-151.75592324
63000,-155.12089982999998,-151.75592324
64000,-154.72755088000002,-151.75592324
65000,-160.88841801999996,-151.75592324
66000,-155.20655917,-151.75592324
67000,-153.7820892,-151.75592324
68000,-157.59109053,-151.75592324
69000,-157.05011438000002,-151.75592324
70000,-144.84042220999999,-144.84042220999999
71000,-163.15095832999998,-144.84042220999999
72000,-174.24827556,-144.84042220999999
73000,-164.92244766,-144.84042220999999
74000,-158.04276052000003,-144.84042220999999
75000,-160.30161934999998,-144.84042220999999
76000,-146.44472137,-144.84042220999999
77000,-131.61771982,-131.61771982
78000,-134.12823095000005,-131.61771982
79000,-139.95486553,-131.61771982
80000,-132.21802251,-131.61771982
81000,-131.47259793999999,-131.47259793999999
82000,-130.75528591000003,-130.75528591000003
83000,-124.74807478000001,-124.74807478000001
84000,-115.27930349999998,-115.27930349999998
85000,-122.34391572999999,-115.27930349999998
86000,-119.08976746000002,-115.27930349999998
87000,-115.06897212,-115.06897212
88000,-118.52396243999999,-115.06897212
89000,-120.22927618000001,-115.06897212
90000,-116.02544137999999,-115.06897212
91000,-111.85683988000002,-111.85683988000002
92000,-112.76521534,-111.85683988000002
93000,-111.7788754,-111.7788754
94000,-112.09632796,-111.7788754
95000,-111.34603790000003,-111.34603790000003
96000,-110.62839872999999,-110.62839872999999
97000,-111.97856191999999,-110.62839872999999
98000,-110.23254914,-110.23254914
99000,-111.20172339999999,-110.23254914
100000,-109.69482144,-109.69482144
