#{"t_start": 1744175098.8747785, "env_id": "None"}
r,l,t
-117.149145,50,1994.280995
-126.480375,50,1997.836067
-179.511642,50,2001.403246
-138.898694,50,2004.941098
-150.501505,50,2008.447667
-136.498868,50,2011.997102
-212.597941,50,2015.546723
-147.277877,50,2019.068926
-143.535287,50,2022.620139
-140.295214,50,2026.162864
-122.5083,50,2029.722636
-134.998608,50,2033.274977
-120.345163,50,2036.831645
-181.541508,50,2040.391919
-162.161907,50,2043.940507
-127.545109,50,2047.441938
-130.060709,50,2050.944866
-112.214195,50,2054.499128
-153.34838,50,2058.043993
-102.308345,50,2061.59382
-102.527666,50,2065.1575
-105.016755,50,2068.665405
-92.421994,50,2072.183485
-89.532397,50,2075.743825
-92.982359,50,2079.281578
-94.238265,50,2082.826021
-96.236085,50,2086.356941
-85.676647,50,2089.872447
-85.933205,50,2093.375354
-79.29209,50,2096.88966
-87.772561,50,2100.425122
-92.660336,50,2103.938826
-83.564146,50,2107.497288
-115.195314,50,2111.051845
-103.388394,50,2114.599251
-83.678622,50,2118.140527
-85.706914,50,2121.654359
-95.415809,50,2125.162836
-89.838673,50,2128.900149
-84.813807,50,2132.443781
-119.916349,50,2135.988779
-93.247243,50,2139.48726
-74.904426,50,2143.017545
-1175.543138,50,2146.542529
-72.414942,50,2150.105641
-72.379986,50,2153.667631
-75.788521,50,2157.23351
-88.025092,50,2160.784103
-89.726229,50,2164.310386
-110.559222,50,2167.81766
-98.746281,50,2171.346514
-101.962656,50,2174.854679
-130.221891,50,2178.362017
-113.240822,50,2181.877737
-115.89782,50,2185.399653
-114.891727,50,2188.916605
-102.551406,50,2192.450493
-117.109567,50,2195.981039
-107.640535,50,2199.777596
-101.422035,50,2203.3433
-91.921033,50,2206.898567
-106.608781,50,2210.403478
-117.169583,50,2213.910738
-128.670046,50,2217.44205
-106.488777,50,2220.986432
-104.652706,50,2224.537647
-171.06734,50,2228.051892
-444.768795,50,2231.562247
-136.440597,50,2235.089329
-108.080386,50,2238.603431
-109.004295,50,2242.12787
-120.726791,50,2245.662824
-116.707294,50,2249.210762
-118.541163,50,2252.737208
-102.795206,50,2256.301998
-107.363621,50,2259.856719
-103.72136,50,2263.416126
-115.517844,50,2266.946456
-130.582178,50,2270.730591
-117.051038,50,2274.29411
-103.131285,50,2277.806131
-105.892414,50,2281.340662
-97.513646,50,2284.879332
-102.372904,50,2288.401255
-103.563283,50,2291.952112
-105.269978,50,2295.460813
-105.306428,50,2299.003283
-94.649289,50,2302.545763
-96.242319,50,2306.058724
-99.914388,50,2309.590397
-103.237664,50,2313.148786
-98.560163,50,2316.714149
-98.661379,50,2320.269382
-101.698381,50,2323.824271
-93.144003,50,2327.385228
-98.612524,50,2330.937899
-92.208392,50,2334.49091
-95.32466,50,2338.053442
-101.341446,50,2341.852224
-94.438299,50,2345.406982
-90.846485,50,2348.932669
-102.351902,50,2352.44688
-92.390579,50,2355.992725
-89.402977,50,2359.5388
-89.970128,50,2363.05914
